Date,Open,High,Low,Close,Adj Close,Volume
2022-06-14,87.410004,88.300003,85.820000,86.989998,86.989998,84066600
2022-06-15,87.900002,90.860001,86.190002,89.300003,89.300003,95774800
2022-06-16,86.629997,86.730003,80.639999,82.050003,82.050003,102433300
2022-06-17,82.190002,82.940002,79.430000,81.570000,81.570000,105212300
2022-06-21,84.169998,85.809998,82.599998,83.790001,83.790001,87780600
2022-06-22,84.400002,86.379997,83.300003,83.750000,83.750000,86634700
2022-06-23,84.320000,84.410004,80.230003,82.430000,82.430000,100614600
2022-06-24,83.559998,87.529999,83.080002,87.080002,87.080002,88553900
2022-06-27,87.360001,88.220001,85.250000,86.160004,86.160004,74663500
2022-06-28,85.709999,86.730003,80.430000,80.779999,80.779999,95618600
2022-06-29,79.550003,79.750000,76.510002,77.989998,77.989998,104140900
2022-06-30,77.730003,78.910004,75.480003,76.470001,76.470001,105368600
2022-07-01,75.190002,75.449997,72.690002,73.669998,73.669998,87734200
2022-07-05,71.980003,75.209999,71.599998,75.199997,75.199997,95589000
2022-07-06,75.169998,76.279999,73.550003,75.349998,75.349998,85458900
2022-07-07,77.190002,79.989998,76.900002,79.300003,79.300003,83640900
2022-07-08,78.309998,80.470001,77.400002,79.349998,79.349998,83405900
2022-07-11,77.849998,78.290001,75.839996,76.949997,76.949997,76150300
2022-07-12,76.980003,77.440002,74.430000,76.360001,76.360001,77873200
2022-07-13,74.940002,79.110001,74.480003,77.519997,77.519997,79355000
2022-07-14,78.230003,79.250000,76.000000,78.599998,78.599998,83493600
2022-07-15,79.360001,81.199997,77.900002,81.110001,81.110001,76050600
2022-07-18,82.209999,84.470001,80.940002,81.430000,81.430000,90464300
2022-07-19,82.760002,86.410004,82.190002,85.879997,85.879997,85047500
2022-07-20,85.389999,89.919998,85.080002,89.430000,89.430000,88348600
2022-07-21,89.599998,91.580002,88.220001,91.089996,91.089996,90449300
2022-07-22,90.199997,90.690002,87.040001,88.099998,88.099998,76989700
2022-07-25,86.570000,87.599998,85.120003,87.540001,87.540001,70083000
2022-07-26,87.000000,87.750000,84.709999,85.250000,85.250000,69180400
2022-07-27,86.940002,90.620003,86.290001,89.820000,89.820000,78301600
2022-07-28,90.419998,92.220001,88.589996,91.669998,91.669998,79009200
2022-07-29,90.699997,94.809998,90.559998,94.470001,94.470001,76630700
2022-08-01,95.589996,98.389999,93.959999,96.779999,96.779999,96477500
2022-08-02,95.709999,100.919998,95.360001,99.290001,99.290001,116734100
2022-08-03,94.830002,98.769997,93.620003,98.089996,98.089996,131142000
2022-08-04,97.500000,104.589996,97.260002,103.910004,103.910004,125855800
2022-08-05,101.050003,103.860001,100.980003,102.309998,102.309998,93859900
2022-08-08,100.059998,101.800003,97.989998,100.070000,100.070000,92606800
2022-08-09,97.949997,98.050003,93.669998,95.540001,95.540001,89473700
2022-08-10,98.449997,99.349998,95.610001,99.050003,99.050003,83416100
2022-08-11,99.930000,102.370003,98.000000,98.120003,98.120003,77516900
2022-08-12,99.199997,101.400002,98.480003,100.830002,100.830002,72316300
2022-08-15,100.510002,101.849998,99.800003,101.010002,101.010002,61327100
2022-08-16,100.839996,101.449997,98.320000,100.199997,100.199997,60220700
2022-08-17,99.260002,99.639999,96.730003,98.269997,98.269997,63735600
2022-08-18,97.739998,101.070000,96.730003,100.440002,100.440002,76059500
2022-08-19,98.669998,99.250000,94.589996,95.949997,95.949997,67221700
2022-08-22,94.400002,95.019997,92.360001,92.839996,92.839996,61837300
2022-08-23,92.389999,94.440002,92.110001,92.489998,92.489998,52927000
2022-08-24,92.209999,93.379997,90.900002,92.730003,92.730003,56520400
2022-08-25,93.139999,97.570000,93.139999,97.180000,97.180000,61016200
2022-08-26,96.290001,97.599998,91.120003,91.180000,91.180000,65552500
2022-08-29,90.050003,91.190002,88.260002,88.489998,88.489998,61142500
2022-08-30,90.059998,90.150002,85.339996,86.940002,86.940002,69087100
2022-08-31,86.279999,86.720001,83.720001,84.870003,84.870003,64991700
2022-09-01,82.349998,82.760002,78.519997,82.330002,82.330002,94854700
2022-09-02,83.320000,83.650002,79.809998,80.239998,80.239998,84924400
2022-09-06,80.410004,80.889999,78.370003,78.720001,78.720001,68727300
2022-09-07,79.239998,80.250000,77.739998,79.610001,79.610001,67891200
2022-09-08,80.029999,83.449997,79.239998,82.779999,82.779999,89089300
2022-09-09,84.029999,85.680000,83.839996,85.449997,85.449997,68907700
2022-09-12,84.889999,85.349998,83.459999,84.639999,84.639999,71922500
2022-09-13,80.959999,81.470001,76.800003,77.029999,77.029999,80921200
2022-09-14,77.099998,78.080002,75.870003,77.449997,77.449997,71483000
2022-09-15,76.639999,77.970001,74.910004,76.660004,76.660004,81818000
2022-09-16,75.620003,76.820000,74.680000,76.510002,76.510002,75300200
2022-09-19,75.389999,77.339996,75.349998,76.769997,76.769997,64966900
2022-09-20,76.080002,76.580002,74.730003,75.250000,75.250000,51129100
2022-09-21,75.440002,78.410004,74.449997,74.480003,74.480003,82069700
2022-09-22,73.889999,74.290001,69.169998,69.500000,69.500000,101436900
2022-09-23,68.000000,69.080002,66.820000,67.959999,67.959999,87690000
2022-09-26,67.870003,68.739998,66.250000,66.300003,66.300003,82898700
2022-09-27,67.900002,68.779999,66.000000,67.169998,67.169998,94871800
2022-09-28,67.110001,68.800003,66.559998,68.360001,68.360001,72389500
2022-09-29,67.150002,67.199997,62.830002,64.139999,64.139999,102552400
2022-09-30,63.619999,65.910004,63.340000,63.360001,63.360001,81664100
2022-10-03,64.459999,66.910004,63.389999,66.110001,66.110001,83841600
2022-10-04,68.269997,69.180000,67.330002,67.900002,67.900002,77160500
2022-10-05,66.589996,68.690002,64.519997,67.940002,67.940002,87127400
2022-10-06,67.820000,70.290001,67.660004,67.849998,67.849998,98325900
2022-10-07,64.010002,64.029999,58.220001,58.439999,58.439999,163786300
2022-10-10,57.310001,58.790001,56.299999,57.810001,57.810001,112241800
2022-10-11,57.209999,58.919998,56.049999,57.630001,57.630001,114054800
2022-10-12,57.450001,58.320000,56.320000,57.849998,57.849998,89264200
2022-10-13,55.520000,60.139999,54.570000,58.939999,58.939999,131159800
2022-10-14,59.599998,59.939999,55.840000,55.939999,55.939999,96959300
2022-10-17,57.349998,58.509998,57.099998,57.959999,57.959999,76977600
2022-10-18,59.910000,60.490002,56.400002,57.919998,57.919998,103064500
2022-10-19,57.330002,59.040001,56.570000,57.230000,57.230000,75704800
2022-10-20,57.470001,60.200001,57.400002,57.770000,57.770000,79552600
2022-10-21,57.220001,58.910000,55.709999,58.820000,58.820000,95366400
2022-10-24,58.570000,59.000000,56.660000,58.700001,58.700001,76305400
2022-10-25,58.770000,61.980000,58.689999,61.470001,61.470001,85501900
2022-10-26,59.689999,61.770000,59.150002,59.730000,59.730000,79761600
