,Date,User,Tweet,lokasi
451,2023-01-31 03:24:15+00:00,rmp_officials,"Dan PKB adalah satu-satunya partai yang sejalan, senafas dan seiring dengan perjuangan NU

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU https://t.co/3NBRpMN38c",
452,2023-01-31 02:27:30+00:00,SedulurU,"Pkb adalah nu. Nu adalah pkb _Prof. Dr. KH. Said Aqil Siradj, M.A

#satuabadnu #gusmuhaimin #cakimin #gusimin #gusmuhaiminpresiden2024 #pkb #pkbmojokerto https://t.co/qFRmXIC1xW",
453,2023-01-31 01:45:02+00:00,pramudia_id,"Selamat pagi sahabat. Awali pagi yang cerah ini dengan berdoa, semoga hari ini dilancarkan segala urusannya, tetap semangat dan Salam Pramudia! #KebangkitanIndonesiaRaya 
#prabowosubianto 
#prabowo #cakimin #gusmuhaimin #PrabowoMuhaimin 
#Pramudia #gerindra
#pkb #Indonesia https://t.co/0z9VvYuFEb",
454,2023-01-30 16:42:32+00:00,JLunahar,@cakimiNOW Bersama cakimin,"Pontang, Banten"
455,2023-01-30 15:20:09+00:00,r66newlitics,"Saat ini, Cak Imin bersama pihaknya masih mendiskusikan usulan tersebut dengan para ahli, dan akan memperjuangkan gagasan untuk menghapus jabatan gubernur.

#R66Newlitics
#R66Media
#BuletinbyR66
#CakImin #PKB #PenghapusanGubernur #HapusGubernur #Gubernur",
456,2023-01-30 14:44:45+00:00,TahirBoma,"#SatuAbadNU 
#cakimin https://t.co/SbNhmTXy9b",
457,2023-01-30 14:40:56+00:00,rmp_officials,"Hanya orang yang tidak mau PKB besar yang mengaburkan hubungan NU dengan PKB

Faktanya PKB itu satu-satunya partai yang sejalan, senafas dan seiring dengan perjuangan NU

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 #NahdlatulUlama #NU https://t.co/kMB9sMBNNb",
458,2023-01-30 14:36:31+00:00,LamonganPkb,"Untuk apa itu semua? Tak lain dan tak bukan demi kemaslahatan umat.
.
.
#cakimin #gusmuhaimin #capres #rmp #Pilpres2024 #nahdatululama #politikkesejahteraan #literasipolitik #pinterpolitik #milenial #genz #generasimuda #generasiunggul #generasimilenial #nahdlatululama #nahdliyyin https://t.co/vsOPEIU0o6",
459,2023-01-30 13:30:11+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/9ncG7LfFeK,
460,2023-01-30 13:22:01+00:00,kata_politik,"Ketua Umum PKB Muhaimin Iskandar alias Cak Imin mengusulkan jabatan gubernur dihapus dalam sistem pemerintahan Indonesia karena tak terlalu fungsional dalam tatanan pemerintahan.

#CakImin #Berani #Pernah https://t.co/AlFnOTDnIW",Indonesia
461,2023-01-30 12:03:20+00:00,CakImin_Bulian,"Satu Abad NU, Satu Abad Kebangkitan Ulama, Menuju Masa Depa Kebangkitan Bangsa. 

Satu Abad NU
@cakimiNOW https://t.co/uRZYhX9Qb1",
462,2023-01-30 12:01:42+00:00,rmp_officials,"Disampaikan saat acara Sarasehan Satu Abad NU

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 #NahdlatulUlama #NU https://t.co/avqDfGLROn",
463,2023-01-30 12:00:00+00:00,ZakariahSira,@baGUSMUHAIMIN24 @cakimiNOW @DPP_PKB Cakimin PKB lebih Mantap,
464,2023-01-30 11:29:07+00:00,ErwansyahSyah8,"SATU ABAD NU
PKB NO 1
#cakimin 
#pkbbanjar https://t.co/7PppESOy9s",
465,2023-01-30 11:20:35+00:00,dpwpkbjabar,"Harus sllu kta suarakan, gak boleh surut, gak boleh kendor. ""KH. Said Aqil Siradj""
#1abadnu #satuabadnu  #1kanindonesia #satu #saidaqilsiroj
#gusmuhaimin
#cakimin #muhaiminiskandar #syaifulhuda
#acepjamaludin #pkb
@dpp_pkb @cakiminow @emhasanuddin @syaifulhooda @AcepJamaludin01 https://t.co/ZDD3FnDWib","Kota Bandung, Jawa Barat"
